timestamp,action,shares,current_price,predicted_price,profit_loss
2024-08-07 16:00:00+00:00,BUY,52,191.82,192.53731,
2024-08-08 12:00:00+00:00,SELL,52,198.04,196.01639,323.43999999999994
2024-08-12 12:00:00+00:00,BUY,52,196.82,197.5038,
2024-08-13 20:00:00+00:00,SELL,52,207.11,203.56947,535.0800000000011
2024-08-15 12:00:00+00:00,BUY,50,213.88,214.58391,
2024-08-19 16:00:00+00:00,SELL,50,222.73,222.0546,442.4999999999997
2024-08-20 16:00:00+00:00,BUY,51,221.09,221.72041,
2024-08-21 12:00:00+00:00,SELL,51,221.15,220.22922,3.060000000000116
2024-08-21 16:00:00+00:00,BUY,50,223.21,226.65643,
2024-08-22 16:00:00+00:00,SELL,50,210.75,209.58644,-623.0000000000005
2024-08-23 12:00:00+00:00,BUY,49,217.835,219.97783,
2024-08-27 12:00:00+00:00,SELL,49,209.405,209.23874,-413.07000000000033
2024-08-27 16:00:00+00:00,BUY,49,209.14,211.12721,
2024-08-28 12:00:00+00:00,SELL,49,205.895,204.61261,-159.00499999999883
2024-08-29 16:00:00+00:00,BUY,48,206.31,206.86102,
2024-09-03 16:00:00+00:00,SELL,48,210.66,209.4411,208.79999999999973
2024-09-04 12:00:00+00:00,BUY,47,218.86,220.47032,
2024-09-06 16:00:00+00:00,SELL,47,210.62,209.62473,-387.2800000000004
2024-09-10 12:00:00+00:00,BUY,44,220.89,223.1573,
2024-09-10 16:00:00+00:00,SELL,44,226.32,225.75945,238.9200000000003
2024-09-17 12:00:00+00:00,BUY,43,232.0,234.82895,
2024-09-17 16:00:00+00:00,SELL,43,227.575,225.26204,-190.2750000000005
2024-09-18 16:00:00+00:00,BUY,43,227.12,230.76501,
2024-09-19 12:00:00+00:00,SELL,43,242.08,240.66383,643.2800000000003
2024-09-19 16:00:00+00:00,BUY,43,243.92,244.81447,
2024-09-20 12:00:00+00:00,SELL,43,239.695,236.28384,-181.67499999999976
2024-09-23 12:00:00+00:00,BUY,41,249.63,249.80594,
2024-09-24 16:00:00+00:00,SELL,41,254.27,252.69336,190.2400000000006
2024-09-24 20:00:00+00:00,BUY,41,254.7,258.30994,
2024-09-26 12:00:00+00:00,SELL,41,255.51,251.9945,33.21000000000009
2024-09-26 20:00:00+00:00,BUY,41,254.4,257.55548,
2024-09-27 20:00:00+00:00,SELL,41,260.39,257.63776,245.5899999999992
2024-09-30 16:00:00+00:00,BUY,41,261.68,265.73703,
2024-10-01 16:00:00+00:00,SELL,41,258.01,255.40158,-150.47000000000065
2024-10-02 16:00:00+00:00,BUY,43,249.1,249.23126,
2024-10-03 12:00:00+00:00,SELL,43,244.21,244.05896,-210.2699999999994
2024-10-03 16:00:00+00:00,BUY,43,240.7,241.89162,
2024-10-04 12:00:00+00:00,SELL,43,247.04,246.24106,272.6200000000001
2024-10-04 16:00:00+00:00,BUY,43,250.035,252.10574,
2024-10-08 16:00:00+00:00,SELL,43,244.47,243.32932,-239.2949999999999
2024-10-14 16:00:00+00:00,BUY,48,219.16,219.68208,
2024-10-15 16:00:00+00:00,SELL,48,219.575,218.49266,19.919999999999618
2024-10-16 16:00:00+00:00,BUY,47,221.32,221.94847,
2024-10-17 12:00:00+00:00,SELL,47,219.79,219.42744,-71.91000000000005
2024-10-18 16:00:00+00:00,BUY,47,220.69,222.84769,
2024-10-21 12:00:00+00:00,SELL,47,218.95,216.35059,-81.78000000000043
2024-10-22 16:00:00+00:00,BUY,47,217.96,218.77261,
2024-10-23 20:00:00+00:00,SELL,47,233.5,232.35107,730.3799999999997
2024-10-24 20:00:00+00:00,BUY,43,258.62,260.417,
2024-10-25 12:00:00+00:00,SELL,43,266.025,264.10312,318.4149999999988
2024-10-25 16:00:00+00:00,BUY,42,269.16,273.2491,
2024-10-28 16:00:00+00:00,SELL,42,262.495,255.92664,-279.93000000000086
2024-10-29 12:00:00+00:00,BUY,43,258.605,259.68225,
2024-10-29 16:00:00+00:00,SELL,43,259.5,259.3993,38.48499999999922
2024-10-29 20:00:00+00:00,BUY,43,258.6,259.96262,
2024-10-30 12:00:00+00:00,SELL,43,262.02,259.5264,147.05999999999824
2024-10-31 12:00:00+00:00,BUY,45,252.62,253.30505,
2024-11-01 12:00:00+00:00,SELL,45,250.26,244.34389,-106.20000000000061
2024-11-01 16:00:00+00:00,BUY,45,248.85,248.90497,
2024-11-04 16:00:00+00:00,SELL,45,244.3,243.39703,-204.74999999999923
2024-11-06 12:00:00+00:00,BUY,39,283.57,287.94315,
