timestamp,action,shares,current_price,predicted_price,profit_loss
2025-01-13 16:00:00+00:00,BUY,712,14.035,14.040303169667586,
2025-01-13 20:00:00+00:00,SELL,712,14.08,13.955198624660738,32.03999999999995
2025-01-14 12:00:00+00:00,BUY,685,14.64,13.89706782409732,
2025-01-14 16:00:00+00:00,SELL,685,14.48,14.731255527646825,-109.6000000000001
2025-01-14 20:00:00+00:00,BUY,685,14.485,14.668153442340241,
2025-01-15 12:00:00+00:00,SELL,685,15.0,14.470225969235612,352.7750000000004
2025-02-05 20:00:00+00:00,BUY,663,15.48,15.186001145837619,
2025-02-06 12:00:00+00:00,SELL,663,14.82,15.534422014239352,-437.5800000000001
2025-02-06 16:00:00+00:00,BUY,668,14.725,14.661429683849114,
2025-02-06 20:00:00+00:00,SELL,668,14.82,14.96109492532484,63.46000000000043
2025-02-07 12:00:00+00:00,BUY,653,15.16,14.738822462706633,
2025-02-07 16:00:00+00:00,SELL,653,14.965,15.152914131548235,-127.33500000000018
2025-02-07 20:00:00+00:00,BUY,655,14.9,14.766371995193605,
2025-02-11 12:00:00+00:00,SELL,655,15.115,15.004435086672244,140.8249999999999
2025-02-11 16:00:00+00:00,BUY,664,14.93,14.970784555019819,
2025-02-11 20:00:00+00:00,SELL,664,14.82,14.774623624691444,-73.03999999999962
2025-02-12 12:00:00+00:00,BUY,669,14.695,14.729858066918034,
2025-02-12 16:00:00+00:00,SELL,669,14.77,14.72539649901384,50.17499999999953
2025-02-12 20:00:00+00:00,BUY,669,14.77,14.56426694813425,
2025-02-13 12:00:00+00:00,SELL,669,15.065,14.571400456104397,197.35499999999996
2025-02-13 16:00:00+00:00,BUY,671,15.02,15.082877193307212,
2025-02-13 20:00:00+00:00,SELL,671,15.19,14.777364778399791,114.06999999999995
2025-02-14 12:00:00+00:00,BUY,631,16.165,15.387113303328928,
2025-02-14 20:00:00+00:00,SELL,631,16.21,16.293531273771723,28.395000000001076
2025-02-18 12:00:00+00:00,BUY,603,16.94,16.46282415603293,
2025-02-19 12:00:00+00:00,SELL,603,16.3,16.535258561445506,-385.92000000000036
2025-02-19 16:00:00+00:00,BUY,597,16.47,16.224053053794297,
2025-02-19 20:00:00+00:00,SELL,597,16.19,16.484388120040713,-167.15999999999855
2025-03-03 16:00:00+00:00,BUY,700,13.81,14.392421128032325,
2025-03-03 20:00:00+00:00,SELL,700,13.555,13.761202221071782,-178.50000000000054
2025-03-04 12:00:00+00:00,BUY,759,12.51,13.663272070484581,
2025-03-04 20:00:00+00:00,SELL,759,13.08,13.582064023776644,432.6300000000002
2025-03-05 12:00:00+00:00,BUY,756,13.13,13.450803862390142,
2025-03-06 16:00:00+00:00,SELL,756,12.46,13.317749260437198,-506.5199999999999
2025-03-07 16:00:00+00:00,BUY,751,12.55,12.439214501374865,
2025-03-07 20:00:00+00:00,SELL,751,12.575,12.519145899861307,18.774999999998933
2025-03-11 12:00:00+00:00,BUY,842,11.21,13.003322518863792,
2025-03-12 12:00:00+00:00,SELL,842,11.73,11.370298776980668,437.83999999999963
2025-03-12 16:00:00+00:00,BUY,829,11.91,11.402305624455932,
2025-03-13 12:00:00+00:00,SELL,829,11.55,12.07461485340743,-298.43999999999954
2025-03-14 12:00:00+00:00,BUY,794,12.07,11.459980706769912,
